"","Country","variable","value"
"1","Iceland","2013 Score","0.8731"
"2","Finland","2013 Score","0.8421"
"3","Norway","2013 Score","0.8417"
"4","Sweden","2013 Score","0.8129"
"5","Philippines","2013 Score","0.7832"
"6","Ireland","2013 Score","0.7823"
"7","New Zealand","2013 Score","0.7799"
"8","Denmark","2013 Score","0.7779"
"9","Switzerland","2013 Score","0.7736"
"10","Nicaragua","2013 Score","0.7715"
"11","Iceland","2008 Score","0.7999"
"12","Finland","2008 Score","0.8195"
"13","Norway","2008 Score","0.8239"
"14","Sweden","2008 Score","0.8139"
"15","Philippines","2008 Score","0.7568"
"16","Ireland","2008 Score","0.7518"
"17","New Zealand","2008 Score","0.7859"
"18","Denmark","2008 Score","0.7538"
"19","Switzerland","2008 Score","0.736"
"20","Nicaragua","2008 Score","0.6747"
